"Officiële naam";"Alternatieve naam";"Afkorting";"Type";"Subtype";"Startdatum";"Einddatum";"Datum ter verificatie";"Laatste mutatie";"Classificaties";"Onderdeel van";"Organisatiebeschrijving/doel";"Link naar uitgebreidere organisatiebeschrijving";"Adressen (type, toelichting, straat, huisnummer, toevoeging, postbus, postcode, plaats, regio, provincieAfkorting, land, centroideLatitude, centroideLongitude, centroideRdx, centroideRdy)";"Online afspraak url";"Afspraak per email";"Telefonische afspraak";"Telefoonnummers ";"Fax";"E-mail adressen";"Internetpagina's";"Sociale Media";"Contactformulieren";"Beschrijving contactgegevens";"Relatie met ministerie";"Link naar organogram";"Oppervlakte (km2)";"Wateroppervlakte (km2)";"Bevat plaatsen";"Aantal inwoners";"Inwoners per km2";"Totaal aantal zetels";"Raad (Partij (aantal zetels))";"Beleidsterreinen";"Datum van publiceren begroting";"Actieve afwijkingen van de Regeling";"OWMS URI";"TOOi URI";"KVK-nummer";"btw-nummer";"Loonheffingennummer";"OIN";"Organisatiecode";"Actieve beheerder ROO"
"Gemeente Eemnes";"";"Eemnes";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Eemnes werkt ambtelijk samen met 2 andere gemeenten: Blaricum en Laren. Samen vormen ze de BEL Combinatie. Bij de BEL Combinatie werken circa 200 medewerkers in opdracht van de gemeenten Blaricum, Eemnes en Laren.";"https://www.belcombinatie.nl/BEL_Combinatie/Organisatie/Organogram";"adresType: Bezoekadres, openbareRuimte: Zuidersingel, huisnummer: 1, postcode: 3755 AZ, woonplaats: EEMNES, provincieAfkorting: UT, centroideLatitude: 52.24714882, centroideLongitude: 5.2520804, centroideRdx: 145772.0, centroideRdy: 473242.0;adresType: Postadres, postbus: 71, postcode: 3755 ZH, woonplaats: EEMNES;adresType: Woo-Adres, openbareRuimte: Zuidersingel, huisnummer: 1, postcode: 3755 AZ, woonplaats: Eemnes";"https://Afspraken.Belcombinatie.nl/Internetafspraken/";"info@eemnes.nl";"14 035";"14 035, label: algemeen";"";"info@eemnes.nl, label: algemeen";"https://www.eemnes.nl, label: algemeen";"";"";"";"";"";"33,67";"";"Eemnes";"9927";"294";"13";"Dorpsbelang (5);CDA (3);PvdA (2);VVD (2);D66 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Eemnes_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0317";"32170038";"";"";"";"gm0317";"Ja"
"Gemeente Eemsdelta";"";"Eemsdelta";"Gemeente";"";"01-01-2021";"";"05-06-2025";"05-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.eemsdelta.nl/organisatie";"adresType: Bezoekadres, openbareRuimte: Wilhelminaweg, huisnummer: 14, postcode: 9901CM, woonplaats: Appingedam, provincieAfkorting: GR, centroideLatitude: 53.32403405, centroideLongitude: 6.86325988, centroideRdx: 253351.0, centroideRdy: 594074.0;adresType: Postadres, postbus: 15, postcode: 9900 AA, woonplaats: APPINGEDAM;adresType: Woo-Adres, postbus: 15, postcode: 9900 AA, woonplaats: Appingedam";"https://www.eemsdelta.nl/afspraak-maken";"gemeente@eemsdelta.nl";"14 0596";"14 0596, label: algemeen";"";"gemeente@eemsdelta.nl, label: algemeen";"https://www.eemsdelta.nl, label: algemeen";"";"";"";"";"";"364,07";"";"'t Zandt, Appingedam, Bierum, Borgsweer, Delfzijl, Eenum, Farmsum, Garrelsweer, Garsthuizen, Godlinze, Holwierde, Huizinge, Krewerd, Leermens, Loppersum, Losdorp, Meedhuizen, Middelstum, Oosterwijtwerd, Spijk GN, Startenhuizen, Stedum, Termunten, Termunterzijl, Toornwerd, Wagenborgen, Westeremden, Westerwijtwerd, Wirdum GN, Woldendorp, Zeerijp, Zijldijk";"44795";"123";"29";"Lokaal Belang Eemsdelta (11);PvdA (4);CDA (3);ChristenUnie (3);VVD (3);GroenLinks (2);Fractie van Ekelenburg (1);Eerlijk Democratisch Eemsdelta (EDE) (1);Gemeentebelangen Eemsdelta (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Eemsdelta";"https://identifier.overheid.nl/tooi/id/gemeente/gm1979";"";"";"";"";"gm1979";"Ja"
"Gemeente Eersel";"";"Eersel";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.eersel.nl/organisatie";"adresType: Bezoekadres, openbareRuimte: Dijk, huisnummer: 15, postcode: 5521 AW, woonplaats: EERSEL, provincieAfkorting: NB, centroideLatitude: 51.35699139, centroideLongitude: 5.31157863, centroideRdx: 149732.563, centroideRdy: 374201.443;adresType: Postadres, postbus: 12, postcode: 5520 AA, woonplaats: EERSEL;adresType: Woo-Adres, openbareRuimte: Dijk, huisnummer: 15, postcode: 5521AW, woonplaats: Eersel, provincieAfkorting: NB, land: Nederland, centroideLatitude: 51.3569914, centroideLongitude: 5.31157856, centroideRdx: 149732.563, centroideRdy: 374201.443";"https://afspraken.eersel.nl:8026/NEW/";"gemeente@eersel.nl";"(0497) 53 13 00";"(0497) 53 13 00, label: algemeen";"";"gemeente@eersel.nl, label: algemeen";"https://www.eersel.nl, label: algemeen";"";"";"";"";"https://cuatro.sim-cdn.nl/eersel/uploads/Organogram%20versie%20september%202024.jpg";"181,72";"";"Duizel, Eersel, Knegsel, Steensel, Vessem, Wintelre";"20389";"112";"17";"Eersel Samen Anders (8);PvdA-GroenLinks (3);VVD (2);CDA (2);D66 (1);Kernbeleid (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Eersel_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0770";"17273265";"";"";"";"gm0770";"Ja"
"Gemeente Eijsden-Margraten";"";"Eijsden-Margraten";"Gemeente";"";"01-01-2011";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Gemeentelijke overheid.";"";"adresType: Bezoekadres, openbareRuimte: Amerikaplein, huisnummer: 1, postcode: 6269 DA, woonplaats: MARGRATEN, provincieAfkorting: LB, centroideLatitude: 50.8207229, centroideLongitude: 5.82256808, centroideRdx: 185680.832, centroideRdy: 314630.208;adresType: Postadres, postbus: 10, postcode: 6269 ZG, woonplaats: MARGRATEN;adresType: Woo-Adres, openbareRuimte: Postbus, postbus: 10, postcode: 6269ZG, woonplaats: Margraten, regio: Limburg, land: Nederland";"https://eijsden-margraten.mijnafspraakmaken.nl/";"";"14 043";"14 043, label: algemeen";"";"info@eijsden-margraten.nl, label: algemeen";"https://www.eijsden-margraten.nl, label: algemeen";"";"";"";"";"https://www.eijsden-margraten.nl/nl/Home/Bestuur-en-organisatie/Organogram.html";"77,59";"";"Banholt, Bemelen, Cadier en Keer, Eckelrade, Eijsden, Gronsveld, Margraten, Mheer, Noorbeek, Scheulder, Sint Geertruid";"26181";"337";"21";"Eijsden Margraten Lokaal (7);CDA (5);VVD (3);PRO (3);ODE (2);Lijst Mourmans (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Eijsden-Margraten";"https://identifier.overheid.nl/tooi/id/gemeente/gm1903";"51643324";"";"";"";"gm1903";"Ja"
"Gemeente Eindhoven";"";"Eindhoven";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeenteraad vertegenwoordigt de inwoners van Eindhoven. Samen met het college van burgemeester en wethouders (B en W) vormt de gemeenteraad het bestuur van de gemeente. Het college van burgemeester en wethouders is verantwoordelijk voor het dagelijks bestuur van Eindhoven op basis van een gezamenlijk beleidsprogramma voor 4 jaar.Naast de wethouders zijn er twee stadsgezanten benoemd. Deze gezanten zijn bedoeld om - op bestuurlijk niveau - een doorbraak of versnelling voor elkaar te krijgen op complexe maatschappelijke opgaven. Opgaven die erg belangrijk zijn voor de samenleving in onze stad en die vragen om extra aandacht en focus. De stadsgezanten gaan nauw samenwerken met het stadsbestuur en hun netwerk binnen en buiten de gemeentelijk organisatie. Beide gezanten vallen bestuurlijk onder de portefeuilles van hun partijgenoten in het college.De gemeentelijke organisatie bestaat uit 14 sectoren en het Van Abbemuseum, aangestuurd door de directieraad (DR). De gemeentesecretaris is voorzitter van de directieraad. Zie voor nadere toelichting de uitgebreide organisatiebeschrijving.";"https://www.eindhoven.nl/bestuur-en-beleid/organisatie/gemeentelijke-organisatie";"adresType: Bezoekadres, openbareRuimte: Stadhuisplein, huisnummer: 1, postcode: 5611 EM, woonplaats: EINDHOVEN, provincieAfkorting: NB, centroideLatitude: 51.43561044, centroideLongitude: 5.48078214, centroideRdx: 161507.152, centroideRdy: 382949.347;adresType: Postadres, postbus: 90150, postcode: 5600 RB, woonplaats: EINDHOVEN;adresType: Woo-Adres, postbus: 90150, postcode: 5600 RB, woonplaats: Eindhoven, provincieAfkorting: NB";"https://www.eindhoven.nl/bestuur-en-beleid/contact/contact-met-de-gemeente/hoe-maak-of-annuleer-ik-een-afspraak";"gemeente@eindhoven.nl";"14 040";"14 040, label: algemeen";"";"gemeente@eindhoven.nl, label: algemeen";"https://www.eindhoven.nl, label: algemeen";"";"";"";"";"https://www.eindhoven.nl/bestuur-en-beleid/organisatie/gemeentelijke-organisatie";"88,84";"";"Eindhoven";"249035";"2803";"45";"GroenLinks (9);CDA (6);VVD (5);PvdA (5);D66 (5);SP (3);Volt (3);OuderenAppèl (2);50PLUS (2);Partij voor de Dieren (2);Lijst Pim Fortuyn (1);Fractie Chahim (1);Forum voor Democratie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Eindhoven_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0772";"17272738";"";"";"";"gm0772";"Ja"
"Gemeente Elburg";"";"Elburg";"Gemeente";"";"";"";"12-05-2025";"12-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://lokaleregelgeving.overheid.nl/CVDR654203";"adresType: Bezoekadres, openbareRuimte: Zuiderzeestraatweg Oost, huisnummer: 19, postcode: 8081 LA, woonplaats: ELBURG, provincieAfkorting: GD, centroideLatitude: 52.44188157, centroideLongitude: 5.85540399, centroideRdx: 186834.632, centroideRdy: 495003.206;adresType: Postadres, postbus: 70, postcode: 8080 AB, woonplaats: ELBURG;adresType: Woo-Adres, postbus: 70, postcode: 8080AB, woonplaats: Elburg, land: Nederland";"https://elburg.mijnafspraakmaken.nl/";"gemeente@elburg.nl";"(0525) 68 86 88";"(0525) 68 86 88, label: algemeen";"";"gemeente@elburg.nl, label: algemeen";"https://www.elburg.nl, label: algemeen";"";"";"";"";"https://www.elburg.nl/Bestuur_en_organisatie/Organisatie/Organogram_gemeente_Elburg";"65,95";"";"'T Harde, Doornspijk, Elburg";"23903";"362";"19";"ChristenUnie (4);Algemeen Belang (4);Liberaal Elburgs Verbond (3);SGP (2);CDA (2);Samen vooruit (1);VVD (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Elburg_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0230";"08218414";"";"";"";"gm0230";"Ja"
"Gemeente Emmen";"";"Emmen";"Gemeente";"";"";"";"02-06-2025";"02-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Bij de gemeente Emmen staan de doelen en wensen van het bestuur (raad en college) centraal. De griffie helpt daarbij de raad en de medewerkers van de organisatie helpen het college. De gemeente Emmen bestaat uit 40 teams. Als u een brief van ons krijgt, dan ziet u daarin de afkorting van het team wat uw vraag behandelt. Hieronder leest u wat de volledige naam van het team is.";"https://gemeente.emmen.nl/organisatie";"adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 7811 AP, woonplaats: EMMEN, provincieAfkorting: DR, centroideLatitude: 52.78453706, centroideLongitude: 6.89247873, centroideRdx: 256551.0, centroideRdy: 534086.0;adresType: Postadres, postbus: 30001, postcode: 7800 RA, woonplaats: EMMEN;adresType: Woo-Adres, openbareRuimte: Raadhuisplein, postcode: 7811AP, woonplaats: Emmen, regio: Drenthe, land: Nederland";"https://gemeente.emmen.nl/afspraak-of-contact";"gemeente@emmen.nl";"14 0591";"14 0591, label: algemeen";"";"gemeente@emmen.nl, label: algemeen";"https://www.emmen.nl, label: algemeen";"";"";"";"";"";"350,0";"";"Barger-Compascuum, Emmen, Emmer-Compascuum, Erica, Klazienaveen, Klazienaveen-Noord, Nieuw-Amsterdam, Nieuw-Dordrecht, Nieuw-Schoonebeek, Nieuw-Weerdinge, Roswinkel, Schoonebeek, Veenoord, Weiteveen, Zandpol, Zwartemeer";"109678";"313";"39";"Wakker Emmen (15);PvdA (7);CDA (4);VVD (3);SP (2);PVV (2);ChristenUnie (2);GroenLinks (1);D66 (1);Hart voor Emmen (1);50PLUS (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Emmen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"01181973";"";"";"";"gm0114";"Ja"
"Gemeente Enkhuizen";"";"Enkhuizen";"Gemeente";"";"";"";"02-05-2025";"02-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.enkhuizen.nl/bestuur-en-organisatie/";"adresType: Bezoekadres, openbareRuimte: Hoogstraat, huisnummer: 11, postcode: 1601 KT, woonplaats: ENKHUIZEN, provincieAfkorting: NH, centroideLatitude: 52.70445852, centroideLongitude: 5.29569835, centroideRdx: 148815.0, centroideRdy: 524121.0;adresType: Postadres, postbus: 20, postcode: 1610 AA, woonplaats: BOVENKARSPEL;adresType: Woo-Adres, openbareRuimte: Hoogstraat, huisnummer: 11, postcode: 1611 KW, woonplaats: Enkhuizen, provincieAfkorting: NH, land: Nederland, centroideLatitude: 52.70445852, centroideLongitude: 5.29569828, centroideRdx: 148815.0, centroideRdy: 524121.0";"https://www.enkhuizen.nl/contact/";"";"";"(0228) 36 01 00, label: algemeen";"";"stadhuis@enkhuizen.nl, label: algemeen";"https://www.enkhuizen.nl, label: algemeen";"";"";"";"";"https://www.sed-organisatie.nl/inrichting/";"16,53";"";"Enkhuizen";"18847";"1140";"16";"Enkhuizen Vooruit! (3);SP (3);CDA (2);PvdA (2);D66 (2);Het Enkhuizer Alternatief (1);VVD (1);Piratenpartij (1);Nieuw Enkhuizen (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Enkhuizen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0388";"37159077";"";"";"";"gm0388";"Ja"
"Gemeente Enschede";"";"Enschede";"Gemeente";"";"";"";"05-06-2025";"05-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeenteraad is het hoogste bestuursorgaan in onze gemeente. De griffie ondersteunt de gemeenteraad. De gemeenteraad geeft aan wat er in een gemeente moet gebeuren en controleert het werk van de burgemeester en wethouders. Het college van burgemeester en wethouders (college van B&W) is het dagelijks bestuur van de gemeente. De bevoegdheden van het college staan in de Gemeentewet. De gemeentesecretaris geeft, als algemeen directeur, leiding aan de ambtelijke organisatie.De ambtelijke organisatie bestaat uit 4 aandachtsgebieden:- Stadsdelen, Concernzaken en Algemeen- Sociaal- Fysiek - Bedrijfsvoering";"https://www.enschede.nl/beschrijving-van-de-organisatie";"adresType: Bezoekadres, openbareRuimte: Hengelosestraat, huisnummer: 51, postcode: 7514 AD, woonplaats: ENSCHEDE, provincieAfkorting: OV, centroideLatitude: 52.22295793, centroideLongitude: 6.89156916, centroideRdx: 257788.452, centroideRdy: 471608.293;adresType: Postadres, postbus: 20, postcode: 7500 AA, woonplaats: ENSCHEDE;adresType: Woo-Adres, postbus: 20, postcode: 7500 AA, woonplaats: Enschede";"https://www.enschede.nl/contact-en-openingstijden";"postbus20@enschede.nl";"14 053";"14 053, label: algemeen";"";"postbus20@enschede.nl, label: algemeen";"https://www.enschede.nl, label: algemeen";"";"";"";"";"https://www.enschede.nl/file/organogram-gemeente-enschedepdf";"141,47";"";"Enschede";"162317";"1147";"39";"Burger Belangen Enschede (10);VVD (4);PvdA (4);D66 (3);CDA (3);GroenLinks (3);PVV (2);ChristenUnie (2);Groep Van Ek/Woltjer (2);Volt (2);Groep Schouten (1);Forum voor Democratie (1);Partij voor de Dieren (1);EnschedeAnders (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Enschede_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0153";"08215195";"";"";"";"gm0153";"Ja"
"Gemeente Epe";"";"Epe";"Gemeente";"";"";"";"17-04-2025";"17-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Het organogram dat via de onderstaande link te bekijken is, laat zien hoe de gemeente Epe intern is opgebouwd uit 3 afdelingen. Elke afdeling bestaat uit teams.";"https://www.epe.nl/media/1810";"adresType: Bezoekadres, openbareRuimte: Marktplein, huisnummer: 1, postcode: 8161 EE, woonplaats: EPE, provincieAfkorting: GD, centroideLatitude: 52.3491043, centroideLongitude: 5.98601464, centroideRdx: 195800.573, centroideRdy: 484746.002;adresType: Postadres, postbus: 600, postcode: 8160 AP, woonplaats: EPE;adresType: Woo-Adres, postbus: 600, postcode: 8160AP, woonplaats: Epe, land: Nederland";"https://www.epe.nl/contact-met-de-gemeente#afspraak-maken-2174";"";"14 0578";"14 0578, label: algemeen";"";"gemeente@epe.nl, label: algemeen";"https://www.epe.nl, label: algemeen";"";"";"";"";"";"157,25";"";"Emst, Epe, Oene, Vaassen";"33469";"212";"23";"CDA (5);Nieuwe Lijn (4);VVD (3);D66 (3);SGP-ChristenUnie (3);Gemeentebelangen (2);PvdA (1);Forum voor Democratie (1);GroenLinks (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Epe";"https://identifier.overheid.nl/tooi/id/gemeente/gm0232";"50483714";"";"";"";"gm0232";"Ja"
"Gemeente Ermelo";"";"Ermelo";"Gemeente";"";"";"";"15-05-2025";"15-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.ermelo.nl/gemeentebestuur/gemeentelijke-organisatie";"adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 2, postcode: 3851 NT, woonplaats: ERMELO, provincieAfkorting: GD, centroideLatitude: 52.30066589, centroideLongitude: 5.61756802, centroideRdx: 170713.325, centroideRdy: 479212.882;adresType: Postadres, postbus: 500, postcode: 3850 AM, woonplaats: ERMELO;adresType: Woo-Adres, openbareRuimte: Raadhuisplein, huisnummer: 2, postcode: 3851 NT, woonplaats: Ermelo";"https://afspraken.ermelo.nl/JCC/Internetafspraken";"";"";"(0341) 56 73 21, label: algemeen";"";"gemeente@ermelo.nl, label: algemeen";"https://www.ermelo.nl, label: algemeen";"";"";"";"";"http://lokaleregelgeving.overheid.nl/CVDR720080";"87,38";"";"Ermelo";"28131";"321";"21";"CDA (5);één-Ermelo (5);Progressief Ermelo (3);ChristenUnie (3);VVD (2);SGP (2);HEE22 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Ermelo_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0233";"08217014";"";"";"";"gm0233";"Ja"
